object,confidence,x_min,y_min,x_max,y_max
person,0.8920373916625977,48.23896408081055,58.96503829956055,606.8076782226562,1137.3658447265625
person,0.884739100933075,1425.997802734375,1.7770507335662842,1815.027587890625,579.6446533203125
person,0.8545758724212646,802.6260986328125,102.7120132446289,1124.705078125,1008.28955078125
person,0.8383287787437439,1048.5701904296875,58.117286682128906,1280.05517578125,777.3567504882812
person,0.8204648494720459,1374.3023681640625,433.6890563964844,2047.1461181640625,1144.1011962890625
person,0.41973549127578735,1381.5244140625,557.7235107421875,1717.7109375,1147.7340087890625
person,0.3520171642303467,0.3006958067417145,19.177734375,107.5998764038086,1135.5023193359375
person,0.33694228529930115,0.23674316704273224,6.018652439117432,95.3384017944336,520.0626220703125
person,0.3216083347797394,0.11387328803539276,704.1370849609375,100.06988525390625,1144.3043212890625
person,0.2695924639701843,0.0,1.9730956554412842,91.51055908203125,782.3895874023438
