object,confidence,x_min,y_min,x_max,y_max
laptop,0.9082768559455872,122.083251953125,1858.1822509765625,1159.4263916015625,2775.853515625
person,0.8684012293815613,920.5589599609375,834.7626953125,2703.544189453125,3045.18603515625
bottle,0.6879505515098572,780.2269897460938,1614.8787841796875,940.9179077148438,2053.36865234375
keyboard,0.6295919418334961,2.332308769226074,2615.734375,621.5433349609375,3066.056640625
person,0.496905654668808,857.3783569335938,1700.560546875,1964.01708984375,2495.63427734375
book,0.28931742906570435,2759.653564453125,832.2488403320312,3633.6455078125,951.5805053710938
book,0.2851787805557251,2735.2734375,994.6264038085938,3622.339599609375,1162.41845703125
book,0.28325819969177246,2740.746337890625,920.2044067382812,3628.98291015625,1004.7958984375
book,0.2826516926288605,2709.45703125,891.7094116210938,3638.90185546875,1012.3180541992188
book,0.2671184837818146,3093.0546875,1670.9552001953125,3512.98583984375,1958.244140625
book,0.2561463415622711,2817.06396484375,718.4187622070312,3622.5224609375,852.3844604492188
book,0.25110846757888794,3099.33642578125,1597.2802734375,3507.989990234375,1848.512939453125
book,0.2500006854534149,2683.8720703125,1664.842041015625,3128.49658203125,1744.6871337890625
