object,confidence,x_min,y_min,x_max,y_max
tv,0.8568758368492126,451.75677490234375,191.36680603027344,647.0805053710938,343.487548828125
person,0.8097155094146729,105.20626831054688,369.4130554199219,384.72265625,717.277099609375
tv,0.8025882840156555,663.8145751953125,173.6102752685547,915.446044921875,345.22320556640625
person,0.7670067548751831,624.78173828125,414.57379150390625,792.587646484375,596.811767578125
person,0.7207568883895874,391.21295166015625,342.0665283203125,582.5183715820312,634.234375
person,0.7017962336540222,1018.282470703125,427.2369384765625,1249.75390625,680.9937744140625
person,0.6807873249053955,21.00943374633789,356.0688171386719,114.89985656738281,477.3739318847656
person,0.6743957996368408,874.62890625,228.86541748046875,1025.740234375,372.70428466796875
person,0.6639599204063416,910.3871459960938,366.08319091796875,996.9317016601562,474.85595703125
laptop,0.6462821364402771,300.2716064453125,397.23553466796875,438.53759765625,483.75531005859375
laptop,0.6325475573539734,179.55941772460938,390.4425048828125,278.6282958984375,477.841064453125
person,0.5596596598625183,355.475341796875,239.3232421875,483.1600341796875,408.14678955078125
person,0.5518965125083923,1116.4912109375,373.2350158691406,1188.5263671875,428.5981140136719
chair,0.5491370558738708,608.826171875,682.98876953125,815.287353515625,898.65380859375
laptop,0.5124838352203369,0.28631591796875,450.23590087890625,119.23123931884766,566.088623046875
laptop,0.47354403138160706,481.69891357421875,360.339599609375,582.1879272460938,437.20849609375
person,0.4672372341156006,775.8258056640625,420.0368347167969,993.178466796875,840.20458984375
chair,0.45991477370262146,983.9683837890625,597.5450439453125,1237.7928466796875,865.9132080078125
chair,0.4486745595932007,604.7525634765625,573.899658203125,802.9923095703125,897.946533203125
person,0.4264385402202606,777.139892578125,418.9957275390625,988.855224609375,667.5474853515625
chair,0.40268588066101074,1184.463623046875,385.38421630859375,1246.135009765625,477.1427001953125
chair,0.3922403156757355,761.439697265625,583.5562744140625,989.908935546875,836.8941650390625
tv,0.39161238074302673,746.9022216796875,405.323486328125,919.8072509765625,506.52880859375
chair,0.3619382083415985,763.6904296875,594.9459228515625,1240.609375,960.0
chair,0.3604879379272461,102.29840850830078,486.79595947265625,200.6151123046875,575.6049194335938
person,0.34177154302597046,611.4930419921875,409.8216247558594,794.1746826171875,768.7928466796875
chair,0.3374180495738983,604.70703125,577.9935302734375,793.617431640625,760.6859130859375
chair,0.3259921669960022,101.3475341796875,483.96038818359375,318.4015808105469,748.0127563476562
chair,0.3104943633079529,757.0386962890625,585.6136474609375,990.5263671875,955.3369140625
person,0.29615452885627747,355.04986572265625,240.57424926757812,434.28692626953125,371.8711853027344
laptop,0.2780251204967499,0.177276611328125,450.789794921875,195.56982421875,572.4908447265625
person,0.26840341091156006,114.66543579101562,330.39849853515625,168.09912109375,376.19854736328125
chair,0.26276201009750366,900.966796875,468.201171875,994.5869140625,517.55810546875
tv,0.25539225339889526,257.0767517089844,353.5577697753906,334.3794860839844,410.0400695800781
