object,confidence,x_min,y_min,x_max,y_max
person,0.861663281917572,1353.2977294921875,791.52685546875,1512.308349609375,1218.5692138671875
person,0.8086258172988892,977.9219970703125,777.8519897460938,1104.1483154296875,1212.94970703125
person,0.7928208708763123,1229.369873046875,764.8271484375,1367.4822998046875,1217.720947265625
person,0.779840350151062,854.7257080078125,797.7973022460938,989.52978515625,1220.680419921875
person,0.7511420845985413,484.0066223144531,819.2611083984375,588.7169189453125,1212.6328125
person,0.735895037651062,726.3004150390625,794.1787719726562,867.7278442382812,1213.6473388671875
person,0.7292270660400391,354.4911804199219,802.6685180664062,500.1050720214844,1211.273681640625
person,0.7216331958770752,600.5811767578125,813.7328491210938,730.4679565429688,1219.0462646484375
person,0.6863111853599548,1118.2105712890625,804.2096557617188,1235.5826416015625,1216.4161376953125
potted plant,0.4745025336742401,1571.3507080078125,758.1315307617188,1777.7435302734375,1184.769775390625
potted plant,0.3717668950557709,1663.745361328125,963.9622192382812,1778.85498046875,1194.1781005859375
potted plant,0.3371421992778778,1810.4476318359375,1025.0302734375,1919.9285888671875,1163.7862548828125
potted plant,0.31117913126945496,1811.1910400390625,1047.3035888671875,1879.7113037109375,1162.2198486328125
